,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU12_r,clip_id,label,source_id,appraisal
0,0.0,0.0,0.0,0.0,0.87,0.16,0.0,0.0,Art6_S2,1,Art6,Appreciation
1,0.0,0.0,0.0,0.0,1.1,0.42,0.0,0.0,Art6_S2,1,Art6,Appreciation
2,0.0,0.0,0.0,0.0,1.31,0.62,0.0,0.0,Art6_S2,1,Art6,Appreciation
3,0.0,0.0,0.0,0.0,1.54,1.06,0.0,0.0,Art6_S2,1,Art6,Appreciation
4,0.04,0.0,0.0,0.0,1.67,1.25,0.0,0.0,Art6_S2,1,Art6,Appreciation
5,0.15,0.0,0.0,0.0,1.68,1.47,0.0,0.0,Art6_S2,1,Art6,Appreciation
6,0.2,0.0,0.0,0.0,1.61,1.56,0.0,0.0,Art6_S2,1,Art6,Appreciation
7,0.16,0.0,0.0,0.0,1.52,1.36,0.01,0.0,Art6_S2,1,Art6,Appreciation
8,0.05,0.0,0.0,0.0,1.56,1.14,0.01,0.0,Art6_S2,1,Art6,Appreciation
9,0.0,0.0,0.0,0.0,1.58,0.92,0.01,0.0,Art6_S2,1,Art6,Appreciation
10,0.0,0.0,0.0,0.0,1.58,1.05,0.0,0.0,Art6_S2,1,Art6,Appreciation
11,0.0,0.0,0.0,0.0,1.47,1.18,0.0,0.0,Art6_S2,1,Art6,Appreciation
12,0.0,0.0,0.0,0.0,1.37,1.21,0.0,0.0,Art6_S2,1,Art6,Appreciation
13,0.0,0.0,0.0,0.0,1.3,0.98,0.0,0.0,Art6_S2,1,Art6,Appreciation
14,0.0,0.0,0.0,0.0,1.17,0.72,0.0,0.0,Art6_S2,1,Art6,Appreciation
15,0.0,0.0,0.0,0.0,1.06,0.39,0.0,0.0,Art6_S2,1,Art6,Appreciation
16,0.0,0.0,0.0,0.0,0.93,0.16,0.0,0.0,Art6_S2,1,Art6,Appreciation
17,0.0,0.0,0.0,0.0,1.01,0.04,0.0,0.0,Art6_S2,1,Art6,Appreciation
18,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,Art6_S2,1,Art6,Appreciation
19,0.0,0.0,0.0,0.0,1.03,0.15,0.0,0.0,Art6_S2,1,Art6,Appreciation
20,0.0,0.0,0.0,0.0,0.93,0.22,0.0,0.0,Art6_S2,1,Art6,Appreciation
21,0.0,0.0,0.0,0.0,0.87,0.38,0.0,0.0,Art6_S2,1,Art6,Appreciation
22,0.0,0.0,0.0,0.0,0.84,0.58,0.0,0.0,Art6_S2,1,Art6,Appreciation
23,0.11,0.02,0.0,0.0,0.76,0.56,0.0,0.0,Art6_S2,1,Art6,Appreciation
24,0.11,0.02,0.0,0.0,0.67,0.47,0.0,0.0,Art6_S2,1,Art6,Appreciation
25,0.11,0.02,0.0,0.0,0.59,0.18,0.01,0.0,Art6_S2,1,Art6,Appreciation
26,0.0,0.0,0.0,0.0,0.48,0.32,0.02,0.0,Art6_S2,1,Art6,Appreciation
27,0.0,0.0,0.0,0.0,0.28,0.5,0.02,0.0,Art6_S2,1,Art6,Appreciation
28,0.06,0.0,0.0,0.0,0.1,0.53,0.02,0.0,Art6_S2,1,Art6,Appreciation
29,0.15,0.0,0.0,0.0,0.01,0.49,0.0,0.0,Art6_S2,1,Art6,Appreciation
30,0.29,0.0,0.0,0.0,0.0,0.33,0.0,0.0,Art6_S2,1,Art6,Appreciation
31,0.3,0.0,0.0,0.0,0.0,0.45,0.0,0.0,Art6_S2,1,Art6,Appreciation
32,0.45,0.0,0.0,0.14,0.0,0.54,0.0,0.0,Art6_S2,1,Art6,Appreciation
33,0.54,0.0,0.12,0.38,0.0,0.67,0.0,0.0,Art6_S2,1,Art6,Appreciation
34,0.71,0.0,0.29,0.58,0.0,0.72,0.0,0.0,Art6_S2,1,Art6,Appreciation
35,0.74,0.0,0.52,0.62,0.0,0.74,0.0,0.0,Art6_S2,1,Art6,Appreciation
36,0.8,0.0,0.62,0.48,0.0,0.79,0.0,0.0,Art6_S2,1,Art6,Appreciation
37,0.83,0.0,0.52,0.41,0.0,0.64,0.0,0.0,Art6_S2,1,Art6,Appreciation
38,0.77,0.0,0.5,0.43,0.0,0.47,0.0,0.0,Art6_S2,1,Art6,Appreciation
39,0.67,0.0,0.42,0.55,0.0,0.38,0.0,0.0,Art6_S2,1,Art6,Appreciation
40,0.58,0.0,0.49,0.6,0.0,0.5,0.0,0.0,Art6_S2,1,Art6,Appreciation
41,0.75,0.05,0.52,0.45,0.0,0.66,0.0,0.0,Art6_S2,1,Art6,Appreciation
42,1.03,0.11,0.57,0.25,0.0,0.62,0.0,0.0,Art6_S2,1,Art6,Appreciation
43,1.22,0.17,0.65,0.06,0.0,0.7,0.0,0.0,Art6_S2,1,Art6,Appreciation
44,1.06,0.21,0.57,0.02,0.0,0.69,0.0,0.0,Art6_S2,1,Art6,Appreciation
45,0.8,0.15,0.5,0.06,0.0,0.9,0.0,0.0,Art6_S2,1,Art6,Appreciation
46,0.55,0.09,0.5,0.06,0.0,0.95,0.02,0.0,Art6_S2,1,Art6,Appreciation
47,0.43,0.0,0.57,0.05,0.0,0.88,0.11,0.0,Art6_S2,1,Art6,Appreciation
48,0.31,0.0,0.58,0.0,0.0,0.54,0.18,0.0,Art6_S2,1,Art6,Appreciation
49,0.2,0.0,0.52,0.0,0.0,0.18,0.29,0.0,Art6_S2,1,Art6,Appreciation
50,0.16,0.0,0.49,0.0,0.0,0.04,0.36,0.0,Art6_S2,1,Art6,Appreciation
51,0.07,0.0,0.42,0.0,0.0,0.05,0.36,0.0,Art6_S2,1,Art6,Appreciation
52,0.08,0.0,0.4,0.0,0.0,0.05,0.34,0.0,Art6_S2,1,Art6,Appreciation
53,0.09,0.0,0.29,0.0,0.0,0.01,0.28,0.0,Art6_S2,1,Art6,Appreciation
54,0.09,0.0,0.3,0.0,0.0,0.0,0.27,0.0,Art6_S2,1,Art6,Appreciation
55,0.09,0.0,0.25,0.0,0.0,0.0,0.31,0.0,Art6_S2,1,Art6,Appreciation
56,0.08,0.0,0.34,0.0,0.0,0.0,0.27,0.0,Art6_S2,1,Art6,Appreciation
57,0.14,0.0,0.33,0.0,0.07,0.02,0.27,0.0,Art6_S2,1,Art6,Appreciation
58,0.1,0.0,0.28,0.0,0.17,0.02,0.13,0.0,Art6_S2,1,Art6,Appreciation
59,0.07,0.0,0.13,0.0,0.38,0.16,0.07,0.18,Art6_S2,1,Art6,Appreciation
60,0.0,0.0,0.06,0.0,0.48,0.31,0.0,0.24,Art6_S2,1,Art6,Appreciation
61,0.0,0.0,0.01,0.0,0.74,0.59,0.06,0.37,Art6_S2,1,Art6,Appreciation
62,0.0,0.0,0.0,0.0,0.87,0.63,0.08,0.55,Art6_S2,1,Art6,Appreciation
63,0.0,0.0,0.0,0.0,1.21,0.52,0.14,0.93,Art6_S2,1,Art6,Appreciation
